,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
1181,lengthy,ˈleŋθi,,,,,,['adj. 漫长的，长时间的；（讲话、文章等）冗长的，过于详尽的']
1182,lesbian,ˈlezbiən,lesbians,,,,,"['adj. 女同性恋的', 'n. 女同性恋者']"
1183,lesson,ˈlesn,lessons,lessons,lessoning,lessoned,lessoned,"['n. 一节课，一课时；教学单元，（课本中的）课；经验，教训；（教堂礼拜中的）《圣经》选读', 'v. <古>给……上课；教训，训诫']"
1184,liar,,,,,,,
1185,liberation,ˌlɪbəˈreɪʃ(ə)n,liberations,,,,,['n. 解放，解放运动；解脱；释出，放出；<非正式>劫掠，偷盗']
1186,licence,ˈlaɪsns,licences,licences,licencing,licenced,licenced,"['n. 许可证，执照；许可，准许；（言论或行动的）自由，不受拘束；（做错事的）诱因，借口', 'v. 给……发许可证，批准；就……发许可证；按协议特许，授权']"
1187,lieutenant,lefˈtenənt,lieutenants,,,,,['n. （陆军、海军、空军）中尉；（美国消防、警察部门的）中尉；副职官员，代理官员']
1188,lighting,ˈlaɪtɪŋ,,,,,,"['n. 照明；灯光布置，灯光效果', 'v. 照明；点燃（light 的现在分词形式）']"
1189,like,laɪk,likes,likes,liking,liked,liked,"['prep. 像，如同；符合……的方式；（指某人常做的事）符合……的特点，像……才会；（用于询问）……怎么样；例如，好比；（用于否定式短语中）比得上；大约，左右', 'v. 喜欢，喜爱；希望，想要；（用于请求）想要，希望得到；喜欢（做某事、习惯某事）；（用于询问）你觉得……怎么样；对……反感，讨厌；喜好（某种环境）', 'conj. 像……一样，如同；好像，似乎', 'n. 喜好，爱好（常复数）；类似或同类的人或物', 'adj. 类似的，相似的；（画像，图像）逼真的，像的', 'adv. （非正式口语，思考说下句话、解释或举例时用）大概，可能；（非正式口语）我说，他说，她说；（非正式口语，代替as）和…一样，像；（非正式口语，代替as）和……一样，像', '【名】 （Like）（美、俄、印、英、巴）莉凯（人名）']"
1190,lily,ˈlɪli,lilies,,,,,"['n. 百合；睡莲（water lily）；鸢尾花形的纹章', 'adj. 纯洁的，洁白的', '【名】 （Lily）（罗）莉莉（人名）']"
1191,lime,laɪm,limes,limes,liming,limed,limed,"['n. 酸橙（树）；酸橙饮料；酸橙绿色，淡黄绿色；石灰，生石灰；欧椴树，菩提树；<旧>粘鸟胶；（交谈时较注重礼仪和规矩的）非正式社交聚会', 'v. 撒石灰于；坐着（或站着）闲聊；粉刷，用石灰涂白；<旧>用粘鸟胶捕鸟', '【名】 （Lime）（法）利姆（人名）']"
1192,limelight,ˈlaɪmlaɪt,,limelights,limelighting,limelighted,limelighted,"['n. 公众注意的中心；（舞台照明用的）石灰光，石灰光灯', 'v. 使成注目中心']"
1193,linkage,ˈlɪŋkɪdʒ,linkages,,,,,['n. 联系；（国与国之间达成的）互换约定；连接，接合；链条，连接环节；基因连锁（同一染色体上的基因组一起被遗传的特性）']
1194,lioness,ˈlaɪənes,lionesses,,,,,['n. 母狮子；雌狮']
1195,lipstick,ˈlɪpstɪk,lipsticks,,,,,['n. 口红，唇膏']
1196,listener,ˈlɪsənə(r),listeners,,,,,['n. 听者，认真倾听的人；收听广播节目的人']
1197,liter,ˈliːtə(r),liters,,,,,"['n. [计量]公升（容量单位）', 'n. （Liter）人名；（英）利特']"
1198,livelihood,ˈlaɪvlihʊd,livelihoods,,,,,['n. 生计，营生']
1199,livestock,ˈlaɪvstɒk,,,,,,['n. 牲畜，家畜']
1200,lobbyist,ˈlɒbiɪst,lobbyists,,,,,['n. 说客，游说者']
1201,lodging,ˈlɒdʒɪŋ,lodgings,,,,,['n. 寄宿，借宿；租住的房间']
1202,logistic,lɒˈdʒɪstɪk,,,,,,"['adj. 后勤上的，安排协调方面的', 'n. 数理逻辑，符号逻辑']"
1203,logistical,ləˈdʒɪstɪk(ə)l,,,,,,['adj. 后勤上的，安排协调方面的']
1204,logo,ˈləʊɡəʊ,logos,,,,,"['n. （公司或组织的）标识，徽标', 'n. （Logo）（美）洛戈（人名）']"
1205,loneliness,ˈləʊnlinəs,,,,,,['n. 孤独，寂寞']
1206,longitudinal,ˌlɒŋɡɪˈtjuːdɪnl; ˌlɒndʒɪˈtjuːdɪnl,,,,,,['adj. 纵长的，纵向的；纵观的；经度的']
1207,loot,luːt,,loots,looting,looted,looted,"['v. （尤指在战争或暴乱中）抢劫，掠夺', 'n. 战利品，掠夺物；赃物，被盗物；<非正式>钱；<美，非正式>大量赠送（或购买）之物']"
1208,lotion,ˈləʊʃn,lotions,,,,,['n. 洁肤液，护肤液，润肤乳']
1209,loudly,ˈlaʊdli,,,,,,['adv. 大声地，响亮地']
1210,lubrication,ˌluːbrɪˈkeɪʃn,,,,,,['n. 润滑；润滑作用']
1211,luminous,ˈluːmɪnəs,,,,,,['adj. 夜光的，发亮的；鲜亮的，鲜艳的；照亮的，明亮的；睿智的，美丽的；光亮的']
1212,luncheon,ˈlʌntʃən,luncheons,,,,,['n. 正式的午餐，午宴']
1213,lyrical,ˈlɪrɪkl,,,,,,['adj. 抒情的，热情奔放的；（与）流行歌曲歌词（有关）的；音乐般的，有音乐特征的']
1214,madam,ˈmædəm,madams,,,,,['n. 夫人；女士；鸨母']
1215,madden,ˈmædn,,maddens,maddening,maddened,maddened,"['v. 狂怒，极为恼火', '【名】 （Madden）（英、意、捷）马登（人名）']"
1216,magical,ˈmædʒɪkl,,,,,,['adj. 魔法的，魔术的；神奇的，迷人的']
1217,magnificence,mæɡˈnɪfɪsns,,,,,,['n.  壮丽，宏伟']
1218,mainstream,ˈmeɪnstriːm,mainstreams,mainstreams,mainstreaming,mainstreamed,mainstreamed,"['n. 主流', 'adj. 主流的；（学校，班级）为无特殊需求学生开设的，普通的', 'v. 使主流化，使成为主流；（把有特殊教育需求的孩子）编入普通班级']"
1219,makeup,meɪkʌp,makeups,,,,,['n. 组成，构造；化妆品；<美>补考；天性，性格；补给，补充']
1220,mall,mɔːl; mæl,malls,,,,,"['n. 购物中心，步行商业区；（有遮蔽设施的）步行道，散步场所；铁圈球球场', '【名】 （Mall）（美、瑞）迈勒（人名）']"
1221,man,mæn,men,mans,manning,manned,manned,"['n. 成年男子，男人；人类，（特定历史时期的）人（Man）；（不论性别的）人；（来自某地、从事某种工作或有某种兴趣等的）人；（喜欢某事的）人 ；（来自某处、支持某组织或为其工作的）人 ；士兵，（男性）工人 ；上门服务的人；伙计，哥儿们；（不耐烦或生气时对男人的称呼）你这家伙；丈夫，性伙伴；勇敢强壮的人，男子汉；棋子；<俚>（作为社会统治群体的）白人，白人社会（the Man）；<非正式>头头，老板，警察（the Man）；（按发现其遗迹的地名命名的）史前人种', 'v. 在……岗位上工作，操纵（机器等），配备（人员）', 'int. <非正式，主北美>（表示惊奇、气愤等）嘿，天哪', '【名】 【名】（Man）（俄）马恩；（英、葡、意、罗、捷、尼、老、缅、柬）曼；（日）万（人名）']"
1222,manager,ˈmænɪdʒə(r),managers,,,,,['n. （公司、部门等的）经理；（艺人或运动员的）经纪人；（运动队的）管理人，主教练；管理某物的人；（计算机）管理程序']
1223,managerial,ˌmænəˈdʒɪəriəl,,,,,,['adj. 经营上的，管理上的；经理的，管理人的']
1224,manhood,ˈmænhʊd,,,,,,"['n. （男子的）成年，成年期；男子气概；<文>一国的男子；<文>阴茎；<古>人性', '【名】 （Manhood）（英）曼胡德（人名）']"
1225,manipulation,məˌnɪpjuˈleɪʃn,,,,,,['n. 操纵；推拿；（熟练的）控制，使用；（对账目等的）伪造，篡改；（对储存在计算机上的信息的）操作，处理']
1226,manly,ˈmænli,,,,,,"['adj. 有男子气概的，强壮的；（活动）适合男人的', 'adv. 雄赳赳地', '【名】 （Manly）（英）曼利（人名）']"
1227,manoeuvre,məˈnuːvə(r),manoeuvres,manoeuvres,manoeuvring,manoeuvred,manoeuvred,"['n. 熟练（谨慎）的动作；军事演习；策略，花招；欺诈性操作', 'v. （使谨慎或熟练地）移动；操纵，控制']"
1228,manufacturer,ˌmænjuˈfæktʃərə(r),manufacturers,,,,,['n. 生产商，制造商']
1229,marathon,ˈmærəθən,marathons,,,,,"['n. 马拉松赛跑；马拉松式的活动（或工作）', 'adj. 马拉松式的，漫长而累人的', 'v. 参加马拉松赛跑（或马拉松式的比赛、活动）']"
1230,marketing,ˈmɑːkɪtɪŋ,,,,,,"['n. 促销，营销', 'v. 推销，促销；出售；做买卖（market 的现在分词形式）']"
1231,martyrdom,ˈmɑːtədəm,,,,,,['n. 殉难，殉道；苦肉计，装可怜']
1232,marvellous,ˈmɑːvələs,,,,,,['adj. 极好的，绝妙的；令人惊奇的，不同寻常的']
1233,marxism,ˈmɑːksɪzəm,,,,,,"['n. 马克思主义', 'adj. 马克思的；马克思主义的']"
1234,marxist,ˈmɑːksɪst,,,,,,"['n. 马克思主义者', 'adj. 马克思主义的']"
1235,masculinity,ˌmæskjəˈlɪnəti,,,,,,['n. 男子气概，男性']
1236,massage,ˈmæsɑːʒ,massages,massages,massaging,massaged,massaged,"['n. 按摩，推拿', 'v. 按摩，推拿；窜改；用………揉擦（皮肤、头发等）']"
1237,mastery,ˈmɑːstəri,masteries,,,,,['n. 精通，熟练掌握；控制，驾驭']
1238,materialise,məˈtɪərɪəlaɪz,,materialises,materialising,materialised,materialised,"['vt. 物质化（等于 materialize）', 'vi. 突然出现（等于 materialize）']"
1239,materialism,məˈtɪəriəlɪzəm,,,,,,['n. 唯物主义，唯物论；物质主义']
1240,materialist,məˈtɪəriəlɪst,materialists,,,,,"['n. 物质享乐主义者，实利主义者；唯物主义者，唯物论者', 'adj. 唯物主义的，唯物论的']"
1241,maternity,məˈtɜːnəti,maternities,,,,,"['n. 母性，母亲身份；妇产科', 'adj. 怀孕的，产妇的']"
1242,math,mæθ,,,,,,"['n. 数学（等于 mathematics）', 'n. （Math）人名；（德）马特；（柬）马；（英）马思']"
1243,mathematics,ˌmæθəˈmætɪks,,,,,,['n. 数学；数学运算']
1244,maximal,ˈmæksɪml,,,,,,['adj. 最大的，最高的，最大限度的；最带总括性的，最全面的']
1245,maximise,,,,,,,
1246,maybe,ˈmeɪbi,,,,,,"['adv. （不确定）大概，或许；（提出建议）或许，也许；（赞同并补充信息）或许，也许；（不置可否）也许，或许', 'n. 可能性，不确定性']"
1247,meaningful,ˈmiːnɪŋfl,,,,,,['adj. 有意义的，重要的；（指眼神、姿势）意味深长的，意在言外的；浅显易懂的']
1248,measurable,ˈmeʒərəbl,,,,,,['adj. 显著的，有明显影响的；可测量的']
1249,measurement,ˈmeʒəmənt,measurements,,,,,['n. （通常以数字形式呈现的）测量结果；三围，（身材）尺寸；测量，计量；测量单位，度量制']
1250,meaty,ˈmiːti,,,,,,['adj. （食物）含肉的，多肉的；气味（或味道）像肉的；（文章、电影等）内容丰富的；（身体部位）肥厚的，粗壮的']
1251,mechanisation,ˌmekənaɪˈzeɪʃən,,,,,,['n. 机械化']
1252,mechanise,ˈmekə.naɪz,,mechanises,mechanising,mechanised,mechanised,['v. 使机械化（等于 mechanize）']
1253,mechanization,ˌmekənaɪˈzeɪʃn,,,,,,['n. 机械化（=mechanisation）']
1254,mechanize,ˈmekənaɪz,,mechanizes,mechanizing,mechanized,mechanized,['v. 使机械化，用机械装备；使变得像机械']
1255,media,ˈmiːdiə,,,,,,['n. 新闻媒体，传媒（medium的复数形式）；媒体工作者；（尤指血管壁的）中间层（复数mediae）；浊塞音；中脉']
1256,mediation,ˌmiːdiˈeɪʃn,,,,,,['n. 调解，仲裁']
1257,mediator,ˈmiːdieɪtə(r),mediators,,,,,['n. 调停者，解决纷争的人（机构）；中介物']
1258,medicare,ˈmedɪkeə(r),,,,,,['n. （加拿大）医疗保健制度']
1259,medication,ˌmedɪˈkeɪʃn,medications,,,,,['n. 药物，药品；药物治疗']
1260,medicinal,məˈdɪsɪnl,,,,,,"['adj. 药用的，有疗效的；有益身体健康的，有益心理健康的', 'n. 药用物质，药用材料']"
1261,melodious,məˈləʊdiəs,,,,,,['adj. 悦耳的，动听的；旋律优美的']
1262,memorise,ˈmeməraɪz,,memorises,memorising,memorised,memorised,['vt. 记忆；存储（memorize 的英式拼写）']
1263,memorize,ˈmeməraɪz,,memorizes,memorizing,memorized,memorized,['v. 记住，熟记']
1264,mentality,menˈtæləti,mentalities,,,,,['n. 心态，思维方式；智力，智能']
1265,merciful,ˈmɜːsɪfl,,,,,,['adj. 宽大的，仁慈的；带来幸运的，给人解脱的']
1266,merger,ˈmɜːdʒə(r),mergers,,,,,"['n. （公司、组织的）合并；<法律>兼并，吸收', '【名】 （Merger）（法）梅尔热，（德、捷）默格（人名）']"
1267,merriment,ˈmerimənt,,,,,,['n. 欢笑，欢乐']
1268,messy,ˈmesi,,,,,,"['adj. 脏的，凌乱的；使脏乱的，使不整洁的；棘手的，令人厌烦的；马虎的，不精确的', '【名】 （Messy）（法）墨史丽（人名）']"
1269,metabolic,ˌmetəˈbɒlɪk,,,,,,['adj. 新陈代谢的']
1270,metallic,məˈtælɪk,,,,,,"['adj. 含金属的，金属制的；（金属碰撞发出的）叮当声的；（色彩）似金属的，像金属般闪烁的；金属味的；尖利刺耳的，难听的', 'n. 金属制品，含金属物；金属色泽']"
1271,metaphorical,ˌmetəˈfɒrɪkl,,,,,,['adj. 隐喻的，象征的']
1272,meter,ˈmiːtə(r),meters,meters,metering,metered,metered,"['n. 计量器，仪，表；停车收费器；<美>米；<美>（诗歌的）韵律，格律', 'v. 用仪表计量（测量），通过计量器计（价）', '【名】 （Meter）（英）米特，（塞）梅特（人名）']"
1273,methodology,ˌmeθəˈdɒlədʒi,methodologies,,,,,['n. 方法论，一套方法']
1274,metro,ˈmetrəʊ,metros,,,,,"['n. （尤指法国的）地铁，地铁系统；大城市', 'adj. 大都会的，大城市的']"
1275,microwavable,,,,,,,['adj. 可于微波炉中加热的']
1276,microwave,ˈmaɪkrəweɪv,microwaves,microwaves,microwaving,microwaved,microwaved,"['n. 微波炉；微波', 'v. 用微波炉烹调（或加热）']"
1277,midday,ˌmɪdˈdeɪ,,,,,,['n. 中午，正午']
1278,middle-class,ˌmɪdl ˈklɑːs,,,,,,['adj. 中产阶级的；（态度、观念等）中产阶级特有的，古板的']
1279,midnight,ˈmɪdnaɪt,,,,,,"['n. 午夜，半夜', 'adj. 半夜的，午夜的']"
1280,midwife,ˈmɪdwaɪf,midwives,midwifes或midwives,midwifing或midwiving,midwifed或midwived,midwifed或midwived,"['n. 助产士，接生员；促成者；促成因素', 'v. 助（妇女）分娩；促成']"
1281,migrant,ˈmaɪɡrənt,migrants,,,,,"['n. （为工作）移居者，移民；候鸟，迁徙动物', 'adj. 移民的，有迁徙习性的']"
1282,migration,maɪˈɡreɪʃn,migrations,,,,,['n. 移民，迁徙；（计算机系统的）改变，（程序或硬件的）迁移，转移']
1283,mileage,ˈmaɪlɪdʒ,mileages,,,,,['n. 行驶里程；英里数；好处，益处；按英里支付的交通补贴']
1284,militancy,ˈmɪlɪtənsi,,,,,,['n. 好战，好斗']
1285,milky,ˈmɪlki,,,,,,"['adj. 像奶的，如奶般的；奶制的，含奶多的；混浊不清的', '【名】 （Milky）（巴基）米尔基（人名）']"
1286,millimetre,ˈmɪlimiːtə(r),millimetres,,,,,['n. 毫米；千分之一米']
1287,mindset,ˈmaɪndset,,,,,,['n. 观念模式，思维倾向']
1288,minimal,ˈmɪnɪml,,,,,,['adj. 极小的，极少的；极简抽象艺术的；简朴的，朴实无华的；极简的（指短小乐句不断重复并逐渐变化）；最小差别的']
1289,minimise,,,,,,,
1290,mining,ˈmaɪnɪŋ,,,,,,['n. 采矿，采矿业']
1291,ministerial,ˌmɪnɪˈstɪəriəl,,,,,,['adj. 部长的，公使的，内阁的；牧师的']
1292,misleading,ˌmɪsˈliːdɪŋ,,,,,,"['adj. 误导的，引入歧途的', 'v. 误导，将……引入歧途（mislead 的现在分词形式）']"
1293,mistaken,mɪˈsteɪkən,,,,,,"['adj. （信念、想法、观点等）不正确的，错误的；判断错误的，被误解的', 'v. 误解，搞错（mistake 的过去分词形式）']"
1294,mister,ˈmɪstə(r),misters,,,,,"['n. 先生；平民', 'vt. 称……先生']"
1295,misty,ˈmɪsti,,,,,,"['adj. 多雾的，薄雾笼罩的；模糊的，不明晰的；泪眼模糊的；水汽覆盖的；（颜色）不耀眼的，柔和的', '【名】 （Misty）（英）米斯蒂，米丝蒂（女名），（法）米斯蒂（人名）']"
1296,misunderstanding,ˌmɪsʌndəˈstændɪŋ,misunderstandings,,,,,"['n. 误解，误会；小争执，分歧', 'v. 误解，误会（misunderstand 的现在分词形式）']"
1297,mixer,ˈmɪksə(r),mixers,,,,,"['n. 搅拌机；调酒用的饮料；（善于）交际的人；<旧>交谊会；声音（图像）混合器，声音（图像）混合操作员；（可与罐装湿食混拌的）宠物干性食物；（录音，电影摄影）混频器', '【名】 （Mixer）（英、德）米克瑟（人名）']"
1298,mobilise,,,,,,,
1299,moderation,ˌmɒdəˈreɪʃn,,,,,,['n. 适度，有节制；（尤指政治观点或行为的）温和，不偏激；缓和，减轻；<英>评分审核制；牛津大学文学士学位第一次考试（Moderations）；（中子）减速']
1300,moderator,ˈmɒdəreɪtə(r),moderators,,,,,['n. 仲裁人，调解人；<英>（试卷）审核员，监考人；（会议或讨论的）主持人；长老会教长；留言板版主，聊天室版主；慢化剂，缓和剂； 长老会教长']
1301,modernisation,,,,,,,
1302,modernise,,,,,,,
1303,modernize,ˈmɒdənaɪz,,modernizes,modernizing,modernized,modernized,['v. 使现代化；变得现代化']
1304,modesty,ˈmɒdəsti,,,,,,['n. 谦虚，谦逊；保守，端庄；适度，有限；羞怯，腼腆']
1305,modification,ˌmɒdɪfɪˈkeɪʃn,modifications,,,,,['n. 修改的行为（过程）；修改，更改；修饰']
1306,modifier,ˈmɒdɪfaɪə(r),modifiers,,,,,['n. 修饰语，修饰成分；更改者，改型者；（遗传）修饰基因']
1307,molecular,məˈlekjələ(r),,,,,,['adj. 分子的，与分子有关的']
1308,mom,mɒm,,,,,,"['n. 妈妈', 'n. （Mom）人名；（柬）蒙']"
1309,momentarily,ˈməʊməntrəli,,,,,,['adv. 片刻地，短暂地；<美>立刻']
1310,momentary,ˈməʊməntri,,,,,,['adj. 片刻的，短暂的；随时会发生的']
1311,mommy,ˈmɒmi,mommies,,,,,['n. 妈咪']
1312,monday,ˈmʌndeɪ,,,,,,['n. 星期一']
1313,monkey,ˈmʌŋki,monkeys,monkeys,monkeying,monkeyed,monkeyed,"['n. 猴子；顽皮儿童，淘气鬼；受支配的人，受控制的人；<英，非正式>五百英镑；锤式打桩机；<美，非正式>毒瘾', 'v. 胡闹，捣蛋；<旧>模仿，学……的样子']"
1314,monopolise,,,,,,,
1315,mop,mɒp,mops,mops,mopping,mopped,mopped,"['n. 拖把；蓬乱浓密的头发；清扫；洗碗刷；（秋季雇佣农工或仆役的）雇工市场；鬼脸', 'v. 用拖把拖；擦掉，抹掉；结束，完成；扮鬼脸']"
1316,motherly,ˈmʌðəli,,,,,,['adj. 母亲似的，慈母般的']
1317,motivation,ˌməʊtɪˈveɪʃn,motivations,,,,,['n. 动力，诱因；积极性，干劲；<南非>（支持请求或倡议的）事实与理由']
1318,motorway,ˈməʊtəweɪ,motorways,,,,,['n. 高速公路；宽平滑雪道']
1319,mouldy,ˈməʊldi,,,,,,['adj. 发霉的；陈腐的，过时的；<英，非正式>乏味的，令人沮丧的']
1320,mounting,ˈmaʊntɪŋ,,,,,,"['adj. 上升的，增长的', 'n. 底座，座架；架设，安装', 'v. 安排，组织开展；增加；爬上，攀登（mount 的现在分词形式）']"
1321,mourning,ˈmɔːnɪŋ,,,,,,"['n. 伤逝，哀悼；丧服；沉痛哀悼之情；恸哭（某些国家的人为哀悼死者而作的大声痛哭）', 'v. 悼念，哀悼；对……感到痛心（遗憾）（mourn 的现在分词形式）']"
1322,mouth,maʊθ,mouths,mouths,mouthing,mouthed,mouthed,"['n. 嘴，口腔；需要供养的人，食客；入口，开口；入海口，河口；讲话方式，言谈；<非正式>饶舌，出言不逊；（受嚼子控制的）马口；（葡萄酒的不同于气味的）口感', 'v. 不出声地说，用口型默示；言不由衷地说，（自己并不明白却）信口开河；（清晰明确地）说，发……的音；吃，用嘴触碰；训练（马）使之习惯于服从嚼子', 'comb. 有……嘴的，……口的(-mouthed)；言谈……的，口齿……的(-mouthed)']"
1323,mouthful,ˈmaʊθfʊl,mouthfuls,,,,,['n. 一口，一满口（的量）；<非正式>又长又拗口的词（或短语）；意味深长的话，重要的话']
1324,mow,məʊ,mows,mows,mowing,mowed,mown或mowed,"['v. 刈，割（草）', 'n. 修剪，割；<美>干草（或谷物）堆', '【名】 （Mow）（美、印、加）莫（人名）']"
1325,mule,mjuːl,mules,,,,,"['n. 骡，骡子；越境运毒者；（室内使用的）拖鞋；杂交动物，杂交植物；走锭纺纱机；（尤指电动的）小型拖拉机，小型电动机车；（正、反两面的图案不相配的）错铸硬币', '【名】 （Mule）（英）米尔，（意）穆莱（人名）']"
1326,multilateral,ˌmʌltiˈlætərəl,,,,,,['adj. 多国的，多边的；有多条边的，有多个部份的']
1327,multiplication,ˌmʌltɪplɪˈkeɪʃn,multiplications,,,,,['n. 乘法；大量增加']
1328,murderous,ˈmɜːdərəs,,,,,,['adj. 蓄意谋杀的，凶残的；暴怒的；严酷的，剧烈的']
1329,mythical,ˈmɪθɪkl,,,,,,['adj. 神话的，神话中的；想象的，虚构的']
1330,mythology,mɪˈθɒlədʒi,mythologies,,,,,['n. 神话，神话故事；错误的信念，谬误；神话学']
1331,narrate,nəˈreɪt,,narrates,narrating,narrated,narrated,['v. 讲（故事），叙述；给（电影、广播或音乐等）配解说词']
1332,narration,nəˈreɪʃn; næˈreɪʃn,narrations,,,,,['n. 叙述，讲故事；（电影、戏剧等中的）旁白，解说']
1333,narrator,nəˈreɪtə(r),narrators,,,,,['n. （小说或电影的）叙述者，叙事人；（电影或电视节目中的）解说员，旁白员']
1334,narrowly,ˈnærəʊli,,,,,,['adv. 刚好，勉强地；狭隘地，受限地；仔细地，严密地']
1335,nationalism,ˈnæʃ(ə)nəlɪzəm,nationalisms,,,,,['n. 国家主义，民族主义；民族自豪感，民族优越感；民族自决主义；民族特征（或习惯，惯用语）']
1336,nationalist,ˈnæʃnəlɪst,nationalists,,,,,"['n. 国家主义者；国家主义（或民族主义）政党成员；民族主义者，怀有本民族优越感者', 'adj. 民族主义的，怀有民族优越感的；国家主义的；民族主义（或国家主义）政党的']"
1337,nationwide,ˌneɪʃnˈwaɪd,,,,,,"['adj. 全国性的，全国各地的', 'adv. 在全国']"
1338,naturally,ˈnætʃ(ə)rəli,,,,,,['adv. 自然地，天然地；当然地，必然地；天生地，天性地；不做作地；合乎常理地']
1339,necessarily,ˌnesəˈserəli; ˈnesəsərəli,,,,,,['adv. 必定，必然；必要地']
1340,neglectful,nɪˈɡlektfl,,,,,,['adj. 马虎的，不重视的，忽视的；不负责的，不尽职的']
1341,negligent,ˈneɡlɪdʒənt,,,,,,['adj. 疏忽的，玩忽职守的，失职的；<文>放松的，随便的，不拘谨的']
1342,negotiation,nɪˌɡəʊʃiˈeɪʃn,negotiations,,,,,['n. 谈判，协商；转让']
1343,neighbour,ˈneɪbə(r),neighbours,neighbours,neighbouring,neighboured,neighboured,"['n. 邻居，邻人；邻近的人（或物）；邻国；他人，世人', 'vt. （地方，物体）位于……的附近，邻接；住在邻近', 'adj. 邻居的，邻近的']"
1344,neighbourhood,ˈneɪbəhʊd,neighbourhoods,,,,,['n. 社区，四邻；邻近的地方；邻里情谊，邻居间的友善关系；（数）领域']
1345,networking,ˈnetwɜːkɪŋ,,,,,,"['n. 建立工作关系网；（计算机系统的）联网，网络化', 'v. 使（计算机）联网；（尤指工作中）建立关系网，建立人脉；对（电视或广播节目）进行联播（network 的现在分词形式）']"
1346,neutralise,ˈnjuːtrəlaɪz,,neutralises,neutralising,neutralised,neutralised,"['vt. 中和；使中立；使无效', 'vi. 中和']"
1347,neutrality,njuːˈtræləti,,,,,,['n. 中立，中立状态；不表露强烈情感的行为，不表示鲜明观点的行为；（电子）不带电，（化学）非酸非碱']
1348,newspaper,ˈnjuːzpeɪpə(r),newspapers,newspapers,newspapering,newspapered,newspapered,['n. 报纸，报；报社；（尤指用作他途的）旧报纸']
1349,nightly,ˈnaɪtli,,,,,,"['adj. 每晚的，每夜的', 'adv. 每晚地']"
1350,nine,naɪn,nines,,,,,"['n. 九，九个', 'num. 九；九个', 'adj. 九的，九个的', 'n. （Nine）人名；（塞）尼内']"
1351,nineteen,ˌnaɪnˈtiːn,nineteens,,,,,"['num. 十九', 'n. 十九个；十九岁；十九号']"
1352,ninety,ˈnaɪnti,nineties,,,,,"['n. 九十', 'adj. 九十的；九十岁的', 'num. 九十']"
1353,ninth,naɪnθ,ninths,,,,,"['num. 第九；第九名；九度音', 'n. 九分之一', 'adj. 第九的；九分之一的']"
1354,nobility,nəʊˈbɪləti,nobilities,,,,,['n. 贵族；崇高，高尚']
1355,nomination,ˌnɒmɪˈneɪʃn,nominations,,,,,['n. 推荐；任命，指定；被提名的人（或物）']
1356,nominee,ˌnɒmɪˈniː,nominees,,,,,['n. 被提名者，被任命者；（投资等的）名义持有人，注册人；代名人，代名组织']
1357,normalisation,,,,,,,
1358,normalise,,,,,,,
1359,normalize,ˈnɔːməlaɪz,,normalizes,normalizing,normalized,normalized,['v. 正常化，正规化；（浮点表示法）使用标准格式表示']
1360,normally,ˈnɔːməli,,,,,,['adv. 通常，平常；正常地；正交地']
1361,northeastern,ˌnɔːθˈiːstən,,,,,,['adj. 在东北的；东北方的；来自东北的']
1362,northwestern,'nɔ:θ'westən,,,,,,['adj. 来自西北的；西北方的；在西北部的']
1363,nosy,ˈnəʊzi,,nosies,nosying,nosied,nosied,"['adj. 好管闲事的，爱打听的', 'n. <英，非正式>（尤指对属于他人之地或隐秘处所的）彻底查看', 'v. 窥探，打听']"
1364,notation,nəʊˈteɪʃn,notations,,,,,['n. （音乐、数学等的）标记系统，成套符号，标记法；注释，评注']
1365,noteworthy,ˈnəʊtwɜːði,,,,,,['adj. 值得注意的，显著的']
1366,notification,ˌnəʊtɪfɪˈkeɪʃn,,,,,,['n. 通知；通知单，通知书；通告，布告']
1367,notional,ˈnəʊʃənl,,,,,,['adj. 假设的，设想的；（语言学）表意的，实义的；概念的，纯理论的；空想的，不根据实际的']
1368,notoriety,ˌnəʊtəˈraɪəti,notorieties,,,,,['n. 臭名昭著，声名狼藉']
1369,nourishment,ˈnʌrɪʃmənt,,,,,,['n. 滋养品，营养；营养状况，提供营养']
1370,novelist,ˈnɒvəlɪst,novelists,,,,,['n. 小说家']
1371,november,nəʊˈvembə(r),,,,,,['n. 十一月']
1372,nudity,ˈnjuːdəti,,,,,,['n. 裸体，裸露；裸体画（或雕像等）']
1373,obesity,əʊˈbiːsəti,,,,,,['n. 过度肥胖，肥胖症']
1374,obliged,əˈblaɪdʒd,,,,,,"['adj. <正式>感激，感谢；<正式>被迫做某事，必须做某事', 'v. （以法律、义务等）强迫，迫使；感激；（根据要求或需要）帮忙，效劳（oblige 的过去式和过去分词）']"
1375,obscene,əbˈsiːn,,,,,,['adj. 淫秽的，暴力的；道德败坏的，令人厌恶的；（数量等）大得惊人的，骇人听闻的']
1376,obscenity,əbˈsenəti,obscenities,,,,,['n. 淫秽的语言，下流的行为；下流话，脏话；淫秽，猥亵']
1377,observer,əbˈzɜːvə(r),observers,,,,,['n. 观察者，目击者；观察家，评论员；（会议等的）观察员']
1378,obtainment,,,,,,,['n. 获得']
1379,obviously,ˈɒbviəsli,,,,,,['adv. （用于强调）显然，显而易见；明显地']
1380,occasionally,əˈkeɪʒnəli,,,,,,['adv. 偶然，偶尔']
